purchaseorder,po_itemnumber,po_purchaserequisition,po_serialnumber,po_returnsitem,po_purchasingdoctype,po_purchasingdoctypedesc,po_purchasingdocdate,po_deletionindicator,po_purchasingorg,po_purchasingorgdesc,po_companycode,po_companycodedesc,po_purchasinggroup,po_purchasinggroupdesc,po_vendornumber,po_vendorname,po_vendoraccountgroup,po_vendoraccountgroupdesc,po_supplierclassification,po_countrykey,po_localorinternational,po_plant,po_plantdesc,po_storageloc,po_createdon,po_createdby_name,po_documentyear,po_accountassignmentcat,po_accountassignmentcatdesc,po_accntassignmentcatvaluedesc,po_version,po_processingstatuscode,po_processingstatus,po_postingdate,po_approvaldate,po_deliverydate,po_paymentdate,material,materialdesc,materialgroup,materialgroupdesc,materialtype,materialtypedesc,po_orderquantity,po_unitofmeasure,po_netamount,recordskipindicator,po_lastchangedatetime,silver_load_date,silver_load_timestamp
5000020192,00030,null,33080,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-05-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,82735.27,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00050,null,33082,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,1123.19,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00070,null,33084,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,2368.09,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00090,null,33086,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,5182.47,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00020,null,33079,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-05-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,6860,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00040,null,33081,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-05-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,14406,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00060,null,33083,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,1372,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00080,null,33085,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,2058,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00100,null,33087,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,null,null,2023-07-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,2744,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00110,null,33088,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,2024-01-07,null,2023-08-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,2036.97,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00010,null,33090,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-24,2023-06-13,2023-05-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,91385,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00030,null,33092,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-31,2023-06-13,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,40670,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00050,null,33094,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2024-01-07,2023-06-13,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,29400,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020202,00010,null,33096,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016135,Compass Ocean Logistics W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-23,2023-05-23,2023-05-31,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,66591,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020192,00120,null,33089,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003798,Al Himma Corporation for Customs,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,08,08-Rejected,2024-01-07,null,2023-08-30,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,1372,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00020,null,33091,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-24,2023-06-13,2023-05-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,10437,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00040,null,33093,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-31,2023-06-13,2023-06-30,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,3714.2,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020197,00060,null,33095,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2024-01-07,2023-06-13,2023-06-30,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,2469.6,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020202,00020,null,33097,null,ZSEM,Service PO � Subcon,2023-05-23,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016135,Compass Ocean Logistics W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-05-23,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-05-23,2023-05-23,2023-05-31,null,2000013647,Custom Clearance,M010000,General Requirements,SERV,Services,1,NO,6017.2,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00140,null,33111,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-09-01,2023-07-13,2023-08-30,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,1,NO,9256.59,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00060,null,33103,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-05-28,2023-07-13,2023-05-31,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,1,NO,116.13,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00080,null,33105,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-05-28,2023-07-13,2023-05-31,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,1,NO,2199.12,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00100,null,33107,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-06-19,2023-07-13,2023-06-30,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,1,NO,7489.65,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00050,null,33102,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-05-28,2023-07-13,2023-05-31,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,1,MON,18854.22,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00070,null,33104,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-05-28,2023-07-13,2023-05-31,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,1,MON,96218.85,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00090,null,33106,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-06-19,2023-07-13,2023-06-30,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,1,MON,173947.06,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00110,null,33108,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-06-30,2023-07-13,2023-07-31,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,1,MON,277219.46,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00130,null,33110,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-09-01,2023-07-13,2023-08-30,null,2000014521,CAMP ACCOMMODATION RENTAL CHARGES,D050000,Speciality Services,SERV,Services,1,MON,351396.15,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020221,00120,null,33109,null,ZSEM,Service PO � Subcon,2023-05-25,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,2000003887,Namariq Arabian Services Co. Ltd.,Group B,Foreign Vendors/Sub-Contractor,External,GH,International,9900,ABC Logistics Limites - LAGOS,null,2023-05-25,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,00000000,05,05-Approved,2023-07-26,2023-07-13,2023-07-31,null,2000001515,SUPPLY OF FOOD,G121430,Food Expenses,SERV,Services,1,NO,10650.15,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020486,00010,null,33134,null,ZSEM,Service PO � Subcon,2023-06-14,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-06-14,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-06-18,2023-06-21,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,16250,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020486,00030,null,33136,null,ZSEM,Service PO � Subcon,2023-06-14,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-06-14,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-06-18,2023-06-21,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,45000,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020486,00050,null,33138,null,ZSEM,Service PO � Subcon,2023-06-14,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-06-14,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-06-18,2023-06-21,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,15000,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020486,00070,null,33140,null,ZSEM,Service PO � Subcon,2023-06-14,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-06-14,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-06-18,2023-06-21,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,17000,null,null,2025-11-24,2025-11-24T19:24:13.818Z
5000020486,00090,null,33142,null,ZSEM,Service PO � Subcon,2023-06-14,null,9900,ABC logistics Limited Porg,9900,ABC Logistics Limited,332,Christian PAT,1000016003,Total Logistics Trading W.L.L.,Group A,Domestic Vendors/Sub-Contracto,External,NG,Local,9900,ABC Logistics Limites - LAGOS,null,2023-06-14,Javed Ahmed Khan,2023,K,Cost center,ABC - LAG Division,null,05,05-Approved,2023-06-18,2023-06-21,2023-06-30,null,2000000879,TRANSPORTATION CHARGES,G121330,Courier Expenses,SERV,Services,1,UNT,41500,null,null,2025-11-24,2025-11-24T19:24:13.818Z
